sid,peak_mjd,peak_mag,first_det_mjd,last_det_mjd,rise_time_days,fade_time_days,ra,dec,distance_Mpc
1188,61024.03460,16.221,61024.03460,61024.04083,68.84276,68.84899,49.39605,-0.40830,145.84
1209,61287.30395,18.024,61287.30395,61375.03022,5.33913,93.06540,150.71619,-0.21981,424.47
1266,61542.38670,17.987,61542.38670,61618.17925,4.26509,80.05764,61.32283,-0.07780,178.64
1278,61590.04506,19.129,61590.04506,61595.16766,1.30834,6.43094,311.81206,-0.05001,867.48
1341,61804.33977,22.791,61804.33977,61835.20181,64.53060,95.39264,291.94664,0.03277,812.85
1347,61675.35471,20.372,61675.35471,61736.24789,32.84875,93.74193,133.19437,-0.02054,376.28
1375,62213.37811,17.029,62213.37811,62288.17542,16.66039,91.45770,29.06470,0.28698,89.93
1387,61814.10230,17.031,61814.10230,61822.08917,15.78503,23.77190,108.63535,0.06486,308.75
1416,62427.36123,19.633,62427.36123,62468.29244,54.04900,94.98020,196.44325,0.38957,550.22
1431,62325.40422,19.469,62325.40422,62359.40086,48.84174,82.83838,220.39956,0.33291,616.10
1468,61737.33249,23.963,61737.33249,61745.32307,87.14326,95.13384,259.88644,-0.01633,724.69
1480,61403.13325,17.629,61403.13325,61417.08869,1.10896,15.06440,151.83578,-0.15287,427.55
1489,61413.16870,17.519,61413.16870,61499.05855,0.92786,86.81771,171.20202,-0.14721,480.81
1491,62038.29865,22.140,62038.29865,62052.18047,11.68054,25.56236,295.99688,0.19104,823.99
1494,61580.95397,17.433,61580.95397,61593.02053,1.65663,13.72319,154.14115,-0.05519,433.89
1500,61142.17917,20.529,61142.17917,61218.02702,13.47756,89.32541,241.86751,-0.30679,675.14
1533,61110.16677,19.537,61110.16677,61182.03608,13.38199,85.25130,253.81015,-0.32518,707.98
1535,62159.34650,20.839,62159.34650,62161.35166,86.89658,88.90174,173.20432,0.21667,486.31
1564,61360.27320,23.239,61360.27320,61383.23781,70.35933,93.32394,284.92254,-0.21535,793.54
1573,61728.02763,17.579,61728.02763,61737.02470,1.64094,10.63801,301.18069,0.02541,838.25
1597,61615.42968,17.605,61615.42968,61674.24966,20.92180,79.74178,63.16641,-0.04685,183.71
1598,61848.29217,18.626,61848.29217,61919.04772,1.37171,72.12725,292.31575,0.09157,813.87
1612,61016.08649,22.007,61016.08649,61033.25513,78.94373,96.11237,277.86576,-0.41909,774.13
1626,61413.15162,19.623,61413.15162,61449.07916,51.52484,87.45238,133.75556,-0.17530,377.83
1631,61525.10010,21.329,61525.10010,61526.96037,4.39105,6.25131,310.25319,-0.08737,863.20
1645,61224.02896,18.574,61224.02896,61230.04453,8.98006,14.99563,166.97812,-0.25754,469.19
1674,61916.26720,23.497,61916.26720,61979.03763,25.79915,88.56957,281.10181,0.11555,783.03
1684,61625.99206,18.560,61625.99206,61645.07470,33.60064,52.68328,42.42380,-0.04801,126.67
1688,61787.26215,22.853,61787.26215,61835.21122,39.91199,87.86106,209.75197,0.03690,586.82
1708,62069.35089,20.309,62069.35089,62069.35178,80.05303,80.05392,315.19406,0.17025,876.78
1730,62382.31677,21.118,62382.31677,62449.29945,18.84568,85.82836,340.25338,0.38375,945.70
1799,61122.26697,22.657,61122.26697,61153.32538,65.65525,96.71366,223.87033,-0.34850,625.64
1823,61580.95629,23.945,61580.95629,61580.95673,6.23864,6.23909,216.71891,-0.05771,605.98
1824,61748.21642,22.270,61748.21642,61748.21687,99.57315,99.57360,265.50545,-0.01718,740.14
1829,61814.10141,22.312,61814.10141,61825.10096,6.92939,17.92895,177.66237,0.06972,498.57
1836,61780.04937,12.201,61780.04937,61783.03632,16.06434,19.05130,0.20453,0.04602,10.56
1859,61096.01187,17.272,61096.01187,61096.02130,18.18701,18.19643,94.63368,-0.33616,270.24
1883,61267.21125,24.159,61267.21125,61268.18716,28.59148,29.56739,269.70270,-0.24421,751.68
1885,61585.33347,19.175,61585.33347,61678.06663,3.57953,96.31268,119.04372,-0.05384,337.37
1890,61763.05063,20.441,61763.05063,61783.04586,8.24858,28.24382,82.03240,0.04099,235.59
